contrast,correlation,energy,homogeneity,mean,standard_deviation,entropy,rms,variance,smoothness,kurtosis,skewness,idm,label
0.0258,0.7871,0.8538,0.9871,0.0038,0.0897,3.1127,0.0898,0.0081,0.9341,7.7887,0.7594,0.4647,MALIGNANT
0.0386,0.6711,0.8456,0.9807,0.0039,0.0897,3.1007,0.0898,0.0080,0.9363,8.3230,0.8126,0.2697,MALIGNANT
0.0105,0.8219,0.9310,0.9948,0.0038,0.0897,2.2758,0.0898,0.0080,0.9343,22.9114,2.0954,1.1752,MALIGNANT
0.0046,0.8906,0.9536,0.9977,0.0054,0.0897,1.6114,0.0898,0.0081,0.9524,41.9751,3.8111,1.8534,MALIGNANT
0.0487,0.7486,0.7600,0.9757,0.0051,0.0897,3.1454,0.0898,0.0081,0.9495,9.5189,0.9512,0.0802,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0614,0.8177,0.6059,0.9693,0.0046,0.0897,3.6027,0.0898,0.0080,0.9448,5.8923,0.6348,0.2051,MALIGNANT
0.0214,0.7960,0.8744,0.9893,0.0040,0.0897,3.1937,0.0898,0.0080,0.9373,8.5949,0.6095,-0.4290,MALIGNANT
0.0470,0.7305,0.7809,0.9765,0.0047,0.0897,3.1373,0.0898,0.0080,0.9460,8.6444,0.7591,0.4922,MALIGNANT
0.0416,0.7478,0.7951,0.9792,0.0039,0.0897,2.6341,0.0898,0.0081,0.9354,15.8015,1.4488,0.7529,MALIGNANT
0.0529,0.8149,0.6643,0.9736,0.0018,0.0898,3.0128,0.0898,0.0081,0.8712,6.9108,0.4770,1.9506,MALIGNANT
0.0346,0.7735,0.8137,0.9827,0.0042,0.0897,3.3043,0.0898,0.0081,0.9396,7.1848,0.7672,-0.0731,MALIGNANT
0.0258,0.7871,0.8538,0.9871,0.0038,0.0897,3.1127,0.0898,0.0081,0.9341,7.7887,0.7594,0.4647,MALIGNANT
0.0474,0.7858,0.7335,0.9763,0.0010,0.0898,3.5530,0.0898,0.0080,0.7795,5.8400,0.4629,-0.0759,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0356,0.6858,0.8524,0.9822,0.0062,0.0896,3.2125,0.0898,0.0080,0.9586,8.4960,0.7946,0.3287,MALIGNANT
0.0367,0.7098,0.8381,0.9816,0.0013,0.0898,3.1536,0.0898,0.0081,0.8301,7.0287,0.5673,1.4456,MALIGNANT
0.0303,0.7266,0.8598,0.9848,0.0047,0.0897,3.2586,0.0898,0.0081,0.9460,8.2320,0.6940,-0.1622,MALIGNANT
0.0244,0.8027,0.8527,0.9878,0.0056,0.0896,2.9823,0.0898,0.0081,0.9544,24.0441,2.5284,1.5819,MALIGNANT
0.0105,0.8219,0.9310,0.9948,0.0038,0.0897,2.2758,0.0898,0.0080,0.9343,22.9114,2.0954,1.1752,MALIGNANT
0.0448,0.7882,0.7456,0.9776,0.0039,0.0897,3.1187,0.0898,0.0081,0.9348,7.5831,0.5653,1.3305,MALIGNANT
0.0950,0.7647,0.5103,0.9525,0.0055,0.0896,3.3047,0.0898,0.0081,0.9530,5.4062,0.4777,0.6291,MALIGNANT
0.0256,0.8374,0.8176,0.9872,0.0053,0.0897,3.5886,0.0898,0.0080,0.9517,7.4092,0.7020,1.8417,MALIGNANT
0.0307,0.8462,0.7706,0.9846,0.0035,0.0897,3.3384,0.0898,0.0080,0.9289,8.3651,0.7363,0.7932,MALIGNANT
0.0528,0.8744,0.5299,0.9736,0.0054,0.0897,3.6839,0.0898,0.0080,0.9522,5.5327,0.4131,1.6363,MALIGNANT
0.0395,0.8699,0.6585,0.9803,0.0039,0.0897,3.5886,0.0898,0.0080,0.9349,6.5424,0.6830,1.4279,MALIGNANT
0.0211,0.8053,0.8709,0.9894,0.0048,0.0897,2.5410,0.0898,0.0081,0.9471,24.0497,2.1803,2.4188,MALIGNANT
0.0378,0.8441,0.7213,0.9811,0.0037,0.0897,3.5684,0.0898,0.0080,0.9316,5.6068,0.4820,1.0286,MALIGNANT
0.0255,0.8183,0.8354,0.9873,0.0039,0.0897,3.3348,0.0898,0.0080,0.9355,10.4829,0.8913,1.7159,MALIGNANT
